theme;SimilarElement;element;Datentyp;Kardinalitaet;Beschreibung;Equid;Cattle;Pig;Sheep ;Goat;Poultry;beschreibung_thema;Pascal_Bemerkung;proposedDatatype
reproductionData;IsMultipleBirth;isMultipleBirth;boolean;1 N;true = Mehrlingsgeburt Standardwert = false;;x;;;;;;;xs:boolean
reproductionData;IsStillbirth;isStillbirth;boolean;1 N;Totgeburt: true = ja, false = nein;;;;x;x;;;;xs:boolean
reproductionData;LastCalvingDate. lastKiddingDate. LastLambingDate;lastCalvingDate;dateTime;1 N;Letztes Abkalbedatum;;x;;;;;;ersetzbar mit latestOffspring?;xs:dateTime
slaughterData;Beefiness;beefiness;string;0 N;Fleischigkeit;;x;x;x;x;;;;xs:string
slaughterData;FatTissue;fatTissue;string;1 N;Fettgewebe (nil bei lebenden Tieren);;x;x;x;x;;;;xs:string
slaughterData;HasDisposalFee;hasDisposalFee;boolean;1;Hat Entsorgungsbeitrag?;x;;;;;;;;xs:boolean
slaughterData;IsDeceased;isDeceased;boolean;1;true: Verendung am Schlachthof ,false: Gewerbliche Schlachtung;;x;;x;x;;;irrefuehrender Name. slaughteredAtAbbatoir;xs:boolean
slaughterData;LValue;LValue;decimal;1 N;L-Wert;;x;;;;;;;xs:decimal
slaughterData;MFA;MFA;xs:int;0 N;MFA-Wert in Promille (0 bis 1000);;x;x;x;x;;;;xs:int
slaughterData;SlaughterCategory;slaughterCategory;string;1 N;Schlachtkategorie (nil bei lebenden;;x;;;;;;enum?;xs:string
slaughterData;SlaughterDate;slaughterDate;datetime;1;Schlachtdatum;x;;;;;;;noetig, wenn deathTime und slaughteredAtAbbatoir? soll schlachtgewicht und lebendgewicht unterschieden werden? letzteres nicht aufgefuehrt. definiert Messung am Todeszeitpunkt und Im Schlachthaus genuegend?;xs:dateTime
slaughterData;WeightInGrams;slaughterWeightInGrams;xs:int;1 N;Schlachtgewicht in Gramm;;x;;x;;;;in kilo (gemaess Units...) aber 3nachkommestellen.;xs:decimal
breedingData;BreedingOrganisation;sheepBreedingOrganisation;xs:int;1 N;Bei der Geburtsmeldung angegebene Zuchtorganisation gemaess GetCodes;;x;;x;x;;;ersetzbar mit BreedingOrganisation?;eCH-0261:identifierType
breedingData;HerdBookNumber;herdBookNumber;String;1 N;Herdebuchnummer;x;;;;;;;identifierType;eCH-0261:identifierType
breedingData;MembershipOrganisation AgateNumber;membershipOrganisationAgateNumber;String;1 N;Agate-Nr. der Mitgliedschaftsorganisation, bei der der Equide Mitglied ist.;x;;;;;;;identifierType;eCH-0261:identifierType
breedingData;MembershipOrganisation Name;membershipOrganisationName;String;1 N;Name Mitgliedschaftsorganisation, bei der der Equide Mitglied ist.;x;;;;;;;notwendig wenn ID mit Agate-Nr moeglich?;xs:string
notifierData;AdditionalProperties;additionalProperties;AdditionalPropertyD ata;0..n;Liste von zusaetzlichen Attributen zu den Tieren. Moegliche Keys sind in der WSDL des eTransit Webservices definiert: PigAdditionalPropertyDescriptions;;;;;;;;;xs:string
notifierData;AgateNumber;agateNumber;String;1 N;AgateNumer der Person, welche die Chipnummer gemeldet hat.;x;;;;;;;;eCH-0261:identifierType
notifierData;FirstName;firstName;String;1 N;Vorname der Person, welche die Chipnummer gemeldet hat.;x;;;;;;;notwendig wenn ID mit Agate-Nr moeglich?;xs:string
notifierData;LastName;lastName;String;1 N;Nachname der Person, welche die Chipnummer gemeldet hat.;x;;;;;;;notwendig wenn ID mit Agate-Nr moeglich?;xs:string
Merkblatt_Tiererhebung;;isLactating;;;saeugt das muttertier?;;;;;;;Fuer AggregierteTierdaten: Abgeleitet aus Merkblatt_Tiererhebung;is_saeugend;xs:boolean
Merkblatt_Tiererhebung;;isSucking;;;saugt das jungtier?;;;;;;;Fuer AggregierteTierdaten: Abgeleitet aus Merkblatt_Tiererhebung;is_saugend;xs:boolean
Merkblatt_Tiererhebung;;tierCodeListe;eCH-0261:enumeratedItemType;;BFS: Meldung gemaess EUROSTAT_CODE;;;;;;;Fuer AggregierteTierdaten: Abgeleitet aus Merkblatt_Tiererhebung;BFS: Meldung gemaess EUROSTAT_CODE;eCH-0261:enumeratedItemType
